"Area","Year","Month","TM"
"AT",1908,"09",9.1
"AT",1908,"10",6
"AT",1908,"11",-2
"AT",1908,"12",-3.9
"AT",1909,"01",-6.5
"AT",1909,"02",-6.1
"AT",1909,"03",-1
"AT",1909,"04",5.7
"AT",1909,"05",7.9
"AT",1909,"06",11.5
"AT",1909,"07",12.7
"AT",1909,"08",13.7
"AT",1909,"09",10.6
"AT",1909,"10",7.6
"AT",1909,"11",-0.8
"AT",1909,"12",-1.7
"AT",1910,"01",-3.2
"AT",1910,"02",-1.5
"AT",1910,"03",1.1
"AT",1910,"04",4.1
"AT",1910,"05",8.5
"AT",1910,"06",12.9
"AT",1910,"07",12.6
"AT",1910,"08",13.2
"AT",1910,"09",8.8
"AT",1910,"10",6.8
"AT",1910,"11",-0.6
"AT",1910,"12",0
"AT",1911,"01",-5.7
"AT",1911,"02",-3.4
"AT",1911,"03",1.2
"AT",1911,"04",4.2
"AT",1911,"05",9.1
"AT",1911,"06",11.8
"AT",1911,"07",16
"AT",1911,"08",15.7
"AT",1911,"09",11.9
"AT",1911,"10",6.3
"AT",1911,"11",2.6
"AT",1911,"12",-0.8
"AT",1912,"01",-4.2
"AT",1912,"02",-0.1
"AT",1912,"03",2.8
"AT",1912,"04",3
"AT",1912,"05",9.4
"AT",1912,"06",13
"AT",1912,"07",14.2
"AT",1912,"08",11.8
"AT",1912,"09",5.6
"AT",1912,"10",4
"AT",1912,"11",-2.4
"AT",1912,"12",-1.3
"AT",1913,"01",-4.2
"AT",1913,"02",-3.7
"AT",1913,"03",2.9
"AT",1913,"04",4.9
"AT",1913,"05",8.8
"AT",1913,"06",12
"AT",1913,"07",11.3
"AT",1913,"08",12.2
"AT",1913,"09",10.1
"AT",1913,"10",7.3
"AT",1913,"11",2.8
"AT",1913,"12",-2.1
"AT",1914,"01",-7.6
"AT",1914,"02",-2
"AT",1914,"03",1.5
"AT",1914,"04",6.4
"AT",1914,"05",8.4
"AT",1914,"06",11.3
"AT",1914,"07",13.2
"AT",1914,"08",14.1
"AT",1914,"09",9.6
"AT",1914,"10",5.4
"AT",1914,"11",0.3
"AT",1914,"12",-0.9
"AT",1915,"01",-3.5
"AT",1915,"02",-2.8
"AT",1915,"03",-0.6
"AT",1915,"04",4.5
"AT",1915,"05",10.9
"AT",1915,"06",14.2
"AT",1915,"07",13.7
"AT",1915,"08",12.2
"AT",1915,"09",8.8
"AT",1915,"10",3.6
"AT",1915,"11",-1.8
"AT",1915,"12",0.8
"AT",1916,"01",-0.2
"AT",1916,"02",-2
"AT",1916,"03",3.1
"AT",1916,"04",5.1
"AT",1916,"05",10.2
"AT",1916,"06",10.9
"AT",1916,"07",13.9
"AT",1916,"08",13.4
"AT",1916,"09",8.8
"AT",1916,"10",5.7
"AT",1916,"11",2
"AT",1916,"12",-0.4
"AT",1917,"01",-5.2
"AT",1917,"02",-5.9
"AT",1917,"03",-1.4
"AT",1917,"04",1.7
"AT",1917,"05",11.5
"AT",1917,"06",14.8
"AT",1917,"07",14.9
"AT",1917,"08",14.6
"AT",1917,"09",12.7
"AT",1917,"10",5.1
"AT",1917,"11",0.7
"AT",1917,"12",-5.3
"AT",1918,"01",-3
"AT",1918,"02",-2
"AT",1918,"03",1.4
"AT",1918,"04",6.5
"AT",1918,"05",10.4
"AT",1918,"06",10.1
"AT",1918,"07",13.8
"AT",1918,"08",13.2
"AT",1918,"09",11.6
"AT",1918,"10",5
"AT",1918,"11",-0.1
"AT",1918,"12",-0.6
"AT",1919,"01",-2.2
"AT",1919,"02",-3.7
"AT",1919,"03",0.9
"AT",1919,"04",2.7
"AT",1919,"05",6.6
"AT",1919,"06",11.9
"AT",1919,"07",11.7
"AT",1919,"08",14.4
"AT",1919,"09",12.3
"AT",1919,"10",3.5
"AT",1919,"11",-1.4
"AT",1919,"12",-2.5
"AT",1920,"01",-0.7
"AT",1920,"02",-0.5
"AT",1920,"03",3.3
"AT",1920,"04",6.8
"AT",1920,"05",11.8
"AT",1920,"06",11.4
"AT",1920,"07",14.8
"AT",1920,"08",12.4
"AT",1920,"09",11.1
"AT",1920,"10",5.2
"AT",1920,"11",-0.8
"AT",1920,"12",-2.1
"AT",1921,"01",0.2
"AT",1921,"02",-2.6
"AT",1921,"03",2.6
"AT",1921,"04",3.6
"AT",1921,"05",11.1
"AT",1921,"06",11.7
"AT",1921,"07",16.1
"AT",1921,"08",15.1
"AT",1921,"09",11.3
"AT",1921,"10",8
"AT",1921,"11",-1.7
"AT",1921,"12",-2.9
"AT",1922,"01",-5.4
"AT",1922,"02",-4.3
"AT",1922,"03",2
"AT",1922,"04",3.5
"AT",1922,"05",10.3
"AT",1922,"06",13.3
"AT",1922,"07",14
"AT",1922,"08",14.2
"AT",1922,"09",9.1
"AT",1922,"10",3.9
"AT",1922,"11",-1.2
"AT",1922,"12",-2.4
"AT",1923,"01",-3.1
"AT",1923,"02",-1.9
"AT",1923,"03",1.5
"AT",1923,"04",4.2
"AT",1923,"05",10.4
"AT",1923,"06",9.2
"AT",1923,"07",15.8
"AT",1923,"08",14.6
"AT",1923,"09",10.5
"AT",1923,"10",8.2
"AT",1923,"11",1.7
"AT",1923,"12",-3.9
"AT",1924,"01",-5.5
"AT",1924,"02",-5.3
"AT",1924,"03",-0.4
"AT",1924,"04",4.3
"AT",1924,"05",11
"AT",1924,"06",12.3
"AT",1924,"07",14.2
"AT",1924,"08",11.5
"AT",1924,"09",11.6
"AT",1924,"10",6.3
"AT",1924,"11",0.6
"AT",1924,"12",-2.1
"AT",1925,"01",-2
"AT",1925,"02",-0.1
"AT",1925,"03",-1.4
"AT",1925,"04",5
"AT",1925,"05",10
"AT",1925,"06",12.1
"AT",1925,"07",14.1
"AT",1925,"08",13.4
"AT",1925,"09",8.7
"AT",1925,"10",6.2
"AT",1925,"11",0.1
"AT",1925,"12",-4.4
"AT",1926,"01",-4.1
"AT",1926,"02",1.5
"AT",1926,"03",0.9
"AT",1926,"04",6.4
"AT",1926,"05",8.2
"AT",1926,"06",10.3
"AT",1926,"07",13.5
"AT",1926,"08",13.2
"AT",1926,"09",12.2
"AT",1926,"10",6.7
"AT",1926,"11",5.3
"AT",1926,"12",-2.9
"AT",1927,"01",-2.4
"AT",1927,"02",-3.4
"AT",1927,"03",2.6
"AT",1927,"04",4.8
"AT",1927,"05",9.3
"AT",1927,"06",13.3
"AT",1927,"07",14.9
"AT",1927,"08",14.2
"AT",1927,"09",11.2
"AT",1927,"10",5.7
"AT",1927,"11",1.6
"AT",1927,"12",-4.3
"AT",1928,"01",-2.5
"AT",1928,"02",-1.4
"AT",1928,"03",0.3
"AT",1928,"04",5.5
"AT",1928,"05",6.8
"AT",1928,"06",12.2
"AT",1928,"07",16.9
"AT",1928,"08",15.1
"AT",1928,"09",10.6
"AT",1928,"10",6.4
"AT",1928,"11",2.9
"AT",1928,"12",-4.1
"AT",1929,"01",-8.4
"AT",1929,"02",-11.2
"AT",1929,"03",-0.3
"AT",1929,"04",2.2
"AT",1929,"05",10.2
"AT",1929,"06",12.6
"AT",1929,"07",15.3
"AT",1929,"08",14.7
"AT",1929,"09",12.4
"AT",1929,"10",7.1
"AT",1929,"11",2.2
"AT",1929,"12",-0.8
"AT",1930,"01",-1.8
"AT",1930,"02",-3.6
"AT",1930,"03",2.4
"AT",1930,"04",5.7
"AT",1930,"05",8.7
"AT",1930,"06",15.3
"AT",1930,"07",14.1
"AT",1930,"08",13.5
"AT",1930,"09",11.3
"AT",1930,"10",5.9
"AT",1930,"11",3.1
"AT",1930,"12",-2.7
"AT",1931,"01",-3.7
"AT",1931,"02",-4.1
"AT",1931,"03",-2.1
"AT",1931,"04",3.1
"AT",1931,"05",12.1
"AT",1931,"06",14.5
"AT",1931,"07",14.7
"AT",1931,"08",13
"AT",1931,"09",6.9
"AT",1931,"10",4.9
"AT",1931,"11",1.6
"AT",1931,"12",-3.9
"AT",1932,"01",-2.2
